"Index","BookNumber","BookName","BookShortName","ChaptersCount","CaptionsCountTotal","CaptionsCountPerChapter","VersesCountTotal","VersesCountPerChapter"
0,17,"Ester","Est",10,0,"",167,"1:22|2:23|3:15|4:17|5:14|6:14|7:10|8:17|9:32|10:3"
1,32,"Jona","Jon",4,0,"",48,"1:17|2:10|3:10|4:11"
2,40,"Matthäus","Mt",28,0,"",1071,"1:25|2:23|3:17|4:25|5:48|6:34|7:29|8:34|9:38|10:42|11:30|12:50|13:58|14:36|15:39|16:28|17:27|18:35|19:30|20:34|21:46|22:46|23:39|24:51|25:46|26:75|27:66|28:20"
3,42,"Lukas","Lk",24,0,"",1151,"1:80|2:52|3:38|4:44|5:39|6:49|7:50|8:56|9:62|10:42|11:54|12:59|13:35|14:35|15:32|16:31|17:37|18:43|19:48|20:47|21:38|22:71|23:56|24:53"
4,43,"Johannes","Joh",21,1,"14:1",877,"1:51|2:25|3:36|4:54|5:47|6:71|7:53|8:59|9:41|10:42|11:57|12:49|13:38|14:30|15:27|16:33|17:26|18:40|19:42|20:31|21:25"
